Country,Clicks,Impressions,CTR,Position
United States,25,1744,1.43%,14.52
Pakistan,1,11,9.09%,4.27
India,0,47,0%,54.74
United Kingdom,0,21,0%,11
Germany,0,6,0%,11
Puerto Rico,0,4,0%,5
Canada,0,4,0%,6.75
Philippines,0,3,0%,1
Brazil,0,3,0%,5
France,0,3,0%,21.33
Egypt,0,3,0%,30.33
Vietnam,0,3,0%,34
Nepal,0,2,0%,5.5
Bangladesh,0,2,0%,8
Colombia,0,2,0%,17.5
Greece,0,2,0%,22.5
Ireland,0,2,0%,22.5
Saudi Arabia,0,1,0%,1
Taiwan,0,1,0%,2
Italy,0,1,0%,8
Serbia,0,1,0%,10
Japan,0,1,0%,11
Ecuador,0,1,0%,12
Jordan,0,1,0%,15
Algeria,0,1,0%,27
Poland,0,1,0%,28
Netherlands,0,1,0%,29
South Africa,0,1,0%,36
Chile,0,1,0%,39
Morocco,0,1,0%,42
Turkey,0,1,0%,50
