Top pages,Clicks,Impressions,CTR,Position
https://www.jcasphaltpaving.com/,15,509,2.95%,16.88
https://jcasphaltpaving.com/,8,757,1.06%,2.87
https://www.jcasphaltpaving.com/services/driveways,2,234,0.85%,21.76
https://www.jcasphaltpaving.com/services/asphalt-paving,1,137,0.73%,5.39
https://www.jcasphaltpaving.com/services/parking-lots,0,356,0%,23.81
https://www.jcasphaltpaving.com/services/concrete,0,203,0%,12.57
https://www.jcasphaltpaving.com/about,0,144,0%,6.27
https://www.jcasphaltpaving.com/service-areas,0,143,0%,12.78
https://www.jcasphaltpaving.com/contact,0,117,0%,26.82
https://www.jcasphaltpaving.com/service-areas/orem-ut,0,57,0%,5.26
https://www.jcasphaltpaving.com/work,0,55,0%,2.13
https://www.jcasphaltpaving.com/service-areas/salt-lake-valley,0,29,0%,15.45
https://www.jcasphaltpaving.com/privacy-policy,0,27,0%,16.7
https://www.jcasphaltpaving.com/service-areas/utah-county,0,21,0%,10.57
https://www.jcasphaltpaving.com/about/,0,16,0%,16.56
https://jcasphaltpaving.com/#about,0,14,0%,2
https://jcasphaltpaving.com/#projects,0,14,0%,2
https://jcasphaltpaving.com/#quote,0,14,0%,2
https://jcasphaltpaving.com/#services,0,14,0%,2
https://www.jcasphaltpaving.com/service-areas/spanish-fork-ut,0,14,0%,8.5
https://www.jcasphaltpaving.com/terms-and-conditions,0,9,0%,18.11
https://www.jcasphaltpaving.com/service-areas/springville-ut,0,4,0%,6.5
https://www.jcasphaltpaving.com/services/concrete/,0,2,0%,7
